subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,Session,gaze_L_bin3,gaze_R_bin3,trial_og
7,297,1311.0,0,5.5,5.0,0.5,0.5,Free,0.5,0.5,89
7,298,1589.0,1,5.4,5.0,0.75,0.25,Free,0.75,0.25,90
7,299,2276.9999999999995,1,5.0,4.5,0.5,0.5,Free,0.5,0.5,91
7,300,1948.0000000000002,1,5.0,5.6,0.75,0.25,Free,0.75,0.25,92
7,301,2119.0,1,4.6,5.0,0.75,0.25,Free,0.75,0.25,96
7,302,1820.0,1,5.0,4.6,0.5,0.5,Free,0.5,0.5,97
7,303,1568.0,0,5.0,4.5,0.75,0.25,Free,0.75,0.25,99
7,304,2048.0,1,5.0,5.4,0.25,0.75,Free,0.25,0.75,101
7,305,3550.0,1,5.0,5.3,0.25,0.75,Free,0.25,0.75,102
7,306,1588.0,1,5.0,5.3,0.75,0.25,Free,0.75,0.25,103
7,307,1676.9999999999998,0,5.0,5.4,0.75,0.25,Free,0.75,0.25,105
7,308,1555.0,1,5.0,5.5,0.25,0.75,Free,0.25,0.75,107
7,309,5632.000000000001,1,5.5,5.0,0.5,0.5,Free,0.5,0.5,108
7,310,1493.0,1,5.0,5.6,0.5,0.5,Free,0.5,0.5,109
7,311,2181.0,1,4.5,5.0,0.5,0.5,Free,0.5,0.5,110
7,312,1984.0,1,4.5,5.0,0.5,0.5,Free,0.5,0.5,111
7,313,2978.0,1,5.0,5.4,0.5,0.5,Free,0.5,0.5,112
7,314,1486.0,1,4.6,5.0,0.5,0.5,Free,0.5,0.5,113
7,315,2005.0,0,5.5,5.0,0.25,0.75,Free,0.25,0.75,115
7,316,2518.0000000000005,1,5.0,5.5,0.75,0.25,Free,0.75,0.25,118
7,317,2065.0,1,4.5,5.0,0.5,0.5,Free,0.5,0.5,119
7,318,2240.0,1,5.0,4.6,0.25,0.75,Free,0.25,0.75,121
7,319,3017.0,0,5.3,5.0,0.75,0.25,Free,0.75,0.25,123
7,320,2831.0000000000005,0,5.0,5.2,0.5,0.5,Free,0.5,0.5,125
7,321,1700.0,1,4.7,5.0,0.5,0.5,Free,0.5,0.5,126
7,322,1903.0,0,5.0,4.7,0.5,0.5,Free,0.5,0.5,127
7,323,2559.0,0,5.0,4.8,0.5,0.5,Free,0.5,0.5,128
7,324,1788.0,1,5.0,5.2,0.75,0.25,Free,0.75,0.25,129
7,325,1497.0,1,5.0,5.1,0.25,0.75,Free,0.25,0.75,131
7,326,3265.0,0,5.1,5.0,0.75,0.25,Free,0.75,0.25,133
7,327,1874.0,0,5.0,5.1,0.5,0.5,Free,0.5,0.5,134
7,328,4300.0,1,4.8,5.0,0.75,0.25,Free,0.75,0.25,135
7,329,1934.0000000000002,1,4.8,5.0,0.25,0.75,Free,0.25,0.75,136
7,330,1666.9999999999998,1,4.7,5.0,0.5,0.5,Free,0.5,0.5,137
7,331,1768.0,0,5.3,5.0,0.25,0.75,Free,0.25,0.75,138
